Consecutive number,"Connection
device identifier(full)","cable
Type/connections number/RCS",Connection: Type designation,Connection color / number,Connection: Cross-section / diameter,Length (full),source,target,Wire termination processing source,Wire termination processing target,Routing direction source,Routing direction target,Bundle,Layout space: Routing track,Connection designation,Remark
755,=Q01+I1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,PK,"0,5",2 m,=A02+K1.B1-X21-X21.1M:15,=Q01+S1-N1-X2:2,,,,,,,,
756,=Q01+K1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,PK,"0,5",2 m,=Q01+K1.B1-A2:2,=A02+K1.B1-X21-X21.1F:15,,,,,,,,
757,=Q01+I1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,RD,"0,5",2 m,=A02+K1.B1-X21-X21.1M:16,=Q01+S1-N1-X2:5,,,,,,,,
758,=Q01+K1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,RD,"0,5",2 m,=Q01+K1.B1-A2:5,=A02+K1.B1-X21-X21.1F:16,,,,,,,,
759,=Q01+I1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,BU,"0,5",2 m,=A02+K1.B1-X21-X21.1M:17,=Q01+S1-N1-X2:6,,,,,,,,
760,=Q01+K1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,BU,"0,5",2 m,=Q01+K1.B1-A2:6,=A02+K1.B1-X21-X21.1F:17,,,,,,,,
761,=Q01+I1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,Schirm,,,=Q01+I1-W413:Schirm,=Q01+S1-N1:X2.CASE,,,,,,,,
762,=Q01+K1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,Schirm,"0,00",,=Q01+K1-W413:Schirm,=A02+K1.B1-W11:SE,,,,,,,,
763,=+,,H07V-K,BU,"2,5",,=Q01+K1.H1-G2:-,=Q01+K1.B1-X9:16:2,,,,,,,,
764,=+,,H07V-K,BU,"2,5",,=Q01+K1.B1-X9:16:2,=Q01+K1.B1-X9:36:2,,,,,,,,
765,=+,,H07V-K,BK,"1,5",,=Q01+K1.H2-Q3:T1,=Q01+K1.H1-G2:L1,,,,,,,,
766,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W3:3L1,=Q01+K1.H2-Q3:L1,,,,,,,,
767,=+,,H07V-K,BU,"2,5",,=Q01+K1.H1-G2:+,=Q01+K1.B1-X9:15:3,,,,,,,,
768,=+,,H07V-K,BU,"2,5",,=Q01+K1.B1-X9:15:3,=Q01+K1.B1-X9:35:3,,,,,,,,
769,=+,,H07V-K,BK,"1,5",,=Q01+K1.H2-Q3:T2,=Q01+K1.H1-G2:L2,,,,,,,,
770,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W3:3L2,=Q01+K1.H2-Q3:L2,,,,,,,,
771,=+,,H07V-K,BK,"1,5",,=Q01+K1.H2-Q3:T3,=Q01+K1.H1-G2:L3,,,,,,,,
772,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W3:3L3,=Q01+K1.H2-Q3:L3,,,,,,,,
773,=+,,H07V-K,GNYE,"2,5",,=Q01+K1.H1-G2:-,=A02+K1.H2-X6:PE:1,,,,,,,,
774,=+,,H07V-K,GNYE,"1,5",,=Q01+K1.B1-X9:PE:1,=Q01+K1.H1-G2:PE,,,,,,,,
775,=+,,H05V-K,BU,"0,5",,=Q01+K1.H2-Q3:14,=Q01+K1.B1-A4:4,,,,,,,,
776,=+,,H05V-K,BU,"0,5",,=Q01+K1.H2-Q3:14,=Q01+K1.B1-A7:4,,,,,,,,
777,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1:1,=Q01+K1.H2-Q3:13,,,,,,,,
778,=Q01+I1-W118,UNITRONIC? LiYCY (TP) 4x0.5 mm,,Schirm,,,=Q01+S1-E1:X1.CASE,=Q01+I1-W118:Schirm,,,,,,,,
779,=Q01+I1-W118,UNITRONIC? LiYCY (TP) 4x0.5 mm,,WH,0.5,5 m,=A02+K1.B1-X21-X21.1M:18,=Q01+S1-E1:X1.1,,,,,,,,
780,=Q01+K1-W117,"?LFLEX? CLASSIC 110 3x2,5 mm?",,1,"2,5",3.5 m,=Q01+K1.B1-X9:15:4,=Q01+K1.G1-N2:X0.+24V,,,,,,,,
781,=Q01+I1-W118,UNITRONIC? LiYCY (TP) 4x0.5 mm,,BN,0.5,5 m,=A02+K1.B1-X21-X21.1M:19,=Q01+S1-E1:X1.2,,,,,,,,
782,=Q01+K1-W117,"?LFLEX? CLASSIC 110 3x2,5 mm?",,2,"2,5",3.5 m,=Q01+K1.B1-X9:16:5,=Q01+K1.G1-N2:X0.GND,,,,,,,,
783,=Q01+I1-W118,UNITRONIC? LiYCY (TP) 4x0.5 mm,,YE,0.5,5 m,=A02+K1.B1-X21-X21.1M:20,=Q01+S1-E1:X1.3,,,,,,,,
784,=Q01+K1-W117,"?LFLEX? CLASSIC 110 3x2,5 mm?",,GNYE,"2,5",3.5 m,=Q01+K1.B1-X9:PE:1,=Q01+K1.G1-N2:X0.PE,,,,,,,,
785,=Q01+I1-W118,UNITRONIC? LiYCY (TP) 4x0.5 mm,,GN,0.5,5 m,=A02+K1.B1-X21-X21.1M:21,=Q01+S1-E1:X1.4,,,,,,,,
786,=Q01+K1-W118,UNITRONIC? LiYCY (TP) 4x0.5 mm,,Schirm,,,,,,,,,,,,
787,=Q01+K1-W118,UNITRONIC? LiYCY (TP) 4x0.5 mm,,WH,0.5,5 m,=Q01+K1.G1-N2:X3A.1,=A02+K1.B1-X21-X21.1F:18,,,,,,,,
788,=Q01+K1-W118,UNITRONIC? LiYCY (TP) 4x0.5 mm,,BN,0.5,5 m,=Q01+K1.G1-N2:X3A.2,=A02+K1.B1-X21-X21.1F:19,,,,,,,,
789,=Q01+K1-W118,UNITRONIC? LiYCY (TP) 4x0.5 mm,,YE,0.5,5 m,=Q01+K1.G1-N2:X3B.2,=A02+K1.B1-X21-X21.1F:20,,,,,,,,
790,=Q01+K1-W118,UNITRONIC? LiYCY (TP) 4x0.5 mm,,GN,0.5,5 m,=Q01+K1.G1-N2:X3B.1,=A02+K1.B1-X21-X21.1F:21,,,,,,,,
791,=Q01+K1-W422,UNITRONIC? LiYCY (TP) 4x0.5 mm,,WH,0.5,3 m,=Q01+K1.B1-A5:1,=Q01+K1.G1-N2:X1.9,,,,,,,,
792,=Q01+K1-W422,UNITRONIC? LiYCY (TP) 4x0.5 mm,,BN,0.5,3 m,=Q01+K1.B1-A5:3,=Q01+K1.G1-N2:X1.10,,,,,,,,
793,=Q01+K1-W422,UNITRONIC? LiYCY (TP) 4x0.5 mm,,GN,0.5,3 m,=Q01+K1.B1-A5:5,=Q01+K1.G1-N2:X1.11,,,,,,,,
794,=Q01+K1-W422,UNITRONIC? LiYCY (TP) 4x0.5 mm,,YE,0.5,3 m,=Q01+K1.B1-A5:7,=Q01+K1.G1-N2:X1.12,,,,,,,,
795,=Q01+K1-W422,UNITRONIC? LiYCY (TP) 4x0.5 mm,,Schirm,,,=A02+K1.B1-W11:SE,=Q01+K1.G1-N2:X1.CASE,,,,,,,,
796,=Q01+K1-W324,UNITRONIC? LiYCY (TP) 4x0.5 mm,,WH,0.5,3.5 m,=Q01+K1.B1-X9:17:4,=Q01+K1.G1-N2:X2.E+,,,,,,,,
797,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-A4:12,=Q01+K1.B1-X9:17:3,,,,,,,,
798,=Q01+K1-W324,UNITRONIC? LiYCY (TP) 4x0.5 mm,,BN,0.5,3.5 m,=Q01+K1.B1-X9:18:5,=Q01+K1.G1-N2:X2.E-,,,,,,,,
799,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-W5(-P2):P2:2,=Q01+K1.B1-X9:18:2,,,,,,,,
800,=Q01+K1-W324,UNITRONIC? LiYCY (TP) 4x0.5 mm,,GN,0.5,3.5 m,=Q01+K1.B1-X9:19:4,=Q01+K1.G1-N2:X2.NO,,,,,,,,
801,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-A4:5,=Q01+K1.B1-X9:19:3,,,,,,,,
802,=Q01+K1-W324,UNITRONIC? LiYCY (TP) 4x0.5 mm,,YE,0.5,3.5 m,=Q01+K1.B1-X9:20:5,=Q01+K1.G1-N2:X2.COM,,,,,,,,
803,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-W5(-P1):P1:1,=Q01+K1.B1-X9:20:2,,,,,,,,
804,=Q01+K1-W324,UNITRONIC? LiYCY (TP) 4x0.5 mm,,Schirm,,,=Q01+K1-W324:Schirm,=A02+K1.B1-W9:SE,,,,,,,,
805,=Q01+K1-W425,"UNITRONIC? LiYCY 2x0,5 mm?",,Schirm,,,,,,,,,,,,
806,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-A13:1,=Q01+K1.B1-X9:21:4,,,,,,,,
807,=Q01+K1-W431,"UNITRONIC? LiYCY 12x0,5 mm?",,WH,"0,5",,=Q01+K1.G2-X1:2,=Q01+K1.B1-X9:21:3,,,,,,,,
808,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-A13:4,=Q01+K1.B1-X9:22:5,,,,,,,,
809,=Q01+K1-W431,"UNITRONIC? LiYCY 12x0,5 mm?",,BN,"0,5",,=Q01+K1.G2-X1:3,=Q01+K1.B1-X9:22:2,,,,,,,,
810,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-A13:5,=Q01+K1.B1-X9:23:4,,,,,,,,
811,=Q01+K1-W431,"UNITRONIC? LiYCY 12x0,5 mm?",,GN,"0,5",,=Q01+K1.G2-X1:4,=Q01+K1.B1-X9:23:3,,,,,,,,
812,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-A13:8,=Q01+K1.B1-X9:24:5,,,,,,,,
813,=Q01+K1-W431,"UNITRONIC? LiYCY 12x0,5 mm?",,YE,"0,5",,=Q01+K1.G2-X1:5,=Q01+K1.B1-X9:24:2,,,,,,,,
814,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-W5(-P1):P1:2,=Q01+K1.B1-X9:25:4,,,,,,,,
815,=Q01+K1-W431,"UNITRONIC? LiYCY 12x0,5 mm?",,GY,"0,5",,=Q01+K1.G2-X1:6,=Q01+K1.B1-X9:25:3,,,,,,,,
816,=Q01+K1-W432,UNITRONIC? LiYCY (TP) 4x0.5 mm,,Schirm,"0,00",,=Q01+K1.B1-X9:26:5,=A02+K1.B1-W11:SE,,,,,,,,
817,=Q01+K1-W431,"UNITRONIC? LiYCY 12x0,5 mm?",,SH,"0,5",,=Q01+K1.G2-X1:8,=Q01+K1.B1-X9:26:2,,,,,,,,
818,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-X9:27:4,=Q01+K1.B1-X9:30:5,,,,,,,,
819,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-X9:30:5,=Q01+K1.B1-G4:5,,,,,,,,
820,=Q01+K1-W431,"UNITRONIC? LiYCY 12x0,5 mm?",,PK,"0,5",,=Q01+K1.G2-X1:9,=Q01+K1.B1-X9:27:3,,,,,,,,
821,=Q01+K1-W432,UNITRONIC? LiYCY (TP) 4x0.5 mm,,WH,0.5,,=Q01+K1.B1-X9:28:5,=Q01+K1.B1-A12:1,,,,,,,,
822,=Q01+K1-W431,"UNITRONIC? LiYCY 12x0,5 mm?",,BU,"0,5",,=Q01+K1.G2-X1:10,=Q01+K1.B1-X9:28:2,,,,,,,,
823,=Q01+K1-W432,UNITRONIC? LiYCY (TP) 4x0.5 mm,,BN,0.5,,=Q01+K1.B1-X9:29:4,=Q01+K1.B1-A12:3,,,,,,,,
824,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-X9:29:4,=Q01+K1.B1-X9:32:5,,,,,,,,
825,=Q01+K1-W431,"UNITRONIC? LiYCY 12x0,5 mm?",,RD,"0,5",,=Q01+K1.G2-X1:11,=Q01+K1.B1-X9:29:3,,,,,,,,
826,=Q01+K1-W431,"UNITRONIC? LiYCY 12x0,5 mm?",,BK,"0,5",,=Q01+K1.G2-X1:12,=Q01+K1.B1-X9:30:2,,,,,,,,
827,=Q01+K1-W432,UNITRONIC? LiYCY (TP) 4x0.5 mm,,GN,0.5,,=Q01+K1.B1-X9:31:4,=Q01+K1.B1-A12:5,,,,,,,,
828,=Q01+K1-W431,"UNITRONIC? LiYCY 12x0,5 mm?",,VT,"0,5",,=Q01+K1.G2-X1:13,=Q01+K1.B1-X9:31:3,,,,,,,,
829,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-X9:32:5,=Q01+K1.B1-G4:6,,,,,,,,
830,=Q01+K1-W432,UNITRONIC? LiYCY (TP) 4x0.5 mm,,YE,0.5,,=Q01+K1.B1-X9:32:5,=Q01+K1.B1-A12:7,,,,,,,,
831,=Q01+K1-W431,"UNITRONIC? LiYCY 12x0,5 mm?",,GYPK,"0,5",,=Q01+K1.G2-X1:14,=Q01+K1.B1-X9:32:2,,,,,,,,
832,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-G4:8,=Q01+K1.B1-W5(-P2):P2:1,,,,,,,,
833,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-G4:7,=Q01+K1.B1-W5(-P1):P1:2,,,,,,,,
834,=Q01+K1-W425,"UNITRONIC? LiYCY 2x0,5 mm?",,WH,"0,5",2 m,=Q01+K1.B1-A6:14,=Q01+K1.B1-K5:12,,,,,,,,
835,=Q01+I1-W426,UNITRONIC? LiYCY 5x0.5 mm?,,WH,"0,5",8 m,=A02+K1.B1-X21-X21.2M:1,=Q01+S1-X3:1,,,,,,,,
836,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K5:11,=A02+K1.B1-X21-X21.2F:1,,,,,,,,
837,=Q01+I1-W426,UNITRONIC? LiYCY 5x0.5 mm?,,BN,"0,5",8 m,=A02+K1.B1-X21-X21.2M:2,=Q01+S1-X3:2,,,,,,,,
838,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-W5(-P2):P2:2,=Q01+K1.B1-K5:A2,,,,,,,,
839,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A6:4,=Q01+K1.B1-K5:A1,,,,,,,,
840,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-W5(-P2):P2:1,=Q01+K1.B1-K4:A2,,,,,,,,
841,=Q01+I1-W426,UNITRONIC? LiYCY 5x0.5 mm?,,YE,"0,5",8 m,=A02+K1.B1-X21-X21.2M:3,=Q01+S1-X3:6(5),,,,,,,,
842,=Q01+I1-W426,UNITRONIC? LiYCY 5x0.5 mm?,,GY,"0,5",8 m,=A02+K1.B1-X21-X21.2M:4,=Q01+S1-X3:A(3),,,,,,,,
843,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P2):P2,=A02+K1.B1-X21-X21.2F:4,,,,,,,,
844,=Q01+I1-W426,UNITRONIC? LiYCY 5x0.5 mm?,,GN,"0,5",8 m,=A02+K1.B1-X21-X21.2M:5,=Q01+S1-X3:5(4),,,,,,,,
845,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K4:11,=A02+K1.B1-X21-X21.2F:5,,,,,,,,
846,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1:1,=A02+K1.B1-K20:23,,,,,,,,
847,=Q01+I1-W426,UNITRONIC? LiYCY 5x0.5 mm?,,Schirm,,,=Q01+I1-W426:Schirm,=A02+K1.B1-W10:SE,,,,,,,,
848,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1:2,=Q01+K1.B1-X9:34:2,,,,,,,,
849,=Q01+K1-W425,"UNITRONIC? LiYCY 2x0,5 mm?",,,,,,,,,,,,,,
850,=Q01+S1-W427,,,BN,,,=Q01+S1-M1:BN,=Q01+S1-X3:1,,,,,,,,
851,=Q01+S1-W427,,,GY,,,=Q01+S1-M1:GY,=Q01+S1-X3:2,,,,,,,,
852,=+,,H05V-K,BU,"0,25",,=Q01+S1-X3:2,=Q01+S1-X3:A(3),,,,,,,,
853,=Q01+S1-W427,,,BU,,,=Q01+S1-M1:BU,=Q01+S1-X3:A(3),,,,,,,,
854,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K5:14,=A02+K1.B1-X21-X21.2F:2,,,,,,,,
855,=Q01+K1-W425,"UNITRONIC? LiYCY 2x0,5 mm?",,BN,"0,5",2 m,=Q01+K1.B1-K5:14,=Q01+K1.B1-A6:15,,,,,,,,
856,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-K4:A1,=Q01+K1.B1-A6:5,,,,,,,,
857,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-R1:1,=Q01+K1.B1-K4:A1,,,,,,,,
858,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-R1:2,=A02+K1.B1-X21-X21.2F:3,,,,,,,,
859,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A6:9,=A02+K1.B1-X21-X21.2F:3,,,,,,,,
860,=Q01+S1-W427,,,WH,,,=Q01+S1-M1:WH,=Q01+S1-X3:6(5),,,,,,,,
861,=Q01+S1-W427,,,PK,,,=Q01+S1-M1:PK,=Q01+S1-X3:5(4),,,,,,,,
862,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K20:24,=Q01+K1.B1-K4:14,,,,,,,,
863,=+,,H05V-K,BU,"1,50",,=Q01+K1.B1-K4:14,=Q01+K1.B1-X9:33:3,,,,,,,,
864,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A6:10,=Q01+K1.B1-X9:33:3,,,,,,,,
865,=Q01+I1-W330,Leitung Drehgeber 5x0.34,,WH,"0,34",,=Q01+S1-B1:1,=A02+K1.B1-X21-X21.2M:6,,,,,,,,
866,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-X21-X21.2F:6,=Q01+K1.B1-W5(-P2):P2,,,,,,,,
867,=Q01+I1-W330,Leitung Drehgeber 5x0.34,,BN,"0,34",,=Q01+S1-B1:2,=A02+K1.B1-X21-X21.2M:7,,,,,,,,
868,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-X21-X21.2F:7,=Q01+K1.B1-W5(-P1):P1,,,,,,,,
869,=Q01+I1-W330,Leitung Drehgeber 5x0.34,,BK,"0,34",,=Q01+S1-B1:3,=A02+K1.B1-X21-X21.2M:8,,,,,,,,
870,=Q01+K1-W329,"UNITRONIC? LiYCY 3x0,5 mm?",,WH,"0,5",3 m,=Q01+K1.B1-A6:2,=A02+K1.B1-X21-X21.2F:8,,,,,,,,
871,=Q01+I1-W330,Leitung Drehgeber 5x0.34,,BU,"0,34",,=Q01+S1-B1:4,=A02+K1.B1-X21-X21.2M:9,,,,,,,,
872,=Q01+K1-W329,"UNITRONIC? LiYCY 3x0,5 mm?",,BN,"0,5",3 m,=Q01+K1.B1-A6:1,=A02+K1.B1-X21-X21.2F:9,,,,,,,,
873,=Q01+I1-W330,Leitung Drehgeber 5x0.34,,GY,"0,34",,=Q01+S1-B1:5,=A02+K1.B1-X21-X21.2M:10,,,,,,,,
874,=Q01+K1-W329,"UNITRONIC? LiYCY 3x0,5 mm?",,GN,"0,5",3 m,=Q01+K1.B1-A6:3,=A02+K1.B1-X21-X21.2F:10,,,,,,,,
875,=Q01+K1-W329,"UNITRONIC? LiYCY 3x0,5 mm?",,Schirm,"0,50",,=Q01+K1-W329:Schirm,=A02+K1.B1-W11:SE,,,,,,,,
876,=Q01+I1-W330,Leitung Drehgeber 5x0.34,,Schirm,"0,34",,=A02+K1.B1-W10:SE,=Q01+S1-B1:CASE,,,,,,,,
877,=A02+I1-W303,"UNITRONIC? LiYY 25x0,25",,WH,"0,25",10 m,=A02+S1-A21-X1:1,=A02+K1.B1-X20-X20.1M:1,,,,,,,,
878,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-X20-X20.1F:1,=Q01+K1.B1-A4:13,,,,,,,,
879,=A02+I1-W303,"UNITRONIC? LiYY 25x0,25",,BN,"0,25",10 m,=A02+S1-A21-X1:2,=A02+K1.B1-X20-X20.1M:2,,,,,,,,
880,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-X20-X20.1F:2,=Q01+K1.B1-A4:14,,,,,,,,
881,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.1F:22,=Q01+K1.B1-W5(-P1):X3:3,,,,,,,,
882,=Q01+I1-W325,Sensorkabel 4x0.25 mm?,,BN,0.25,,=Q01+S1-B10:X1.1,=A02+K1.B1-X21-X21.1M:22,,,,,,,,
883,=Q01+I1-W325,Sensorkabel 4x0.25 mm?,,BK,0.25,,=Q01+S1-B10:X1.4,=A02+K1.B1-X21-X21.1M:23,,,,,,,,
884,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.1F:24,=Q01+K1.B1-W5(-P2):X3:1,,,,,,,,
885,=Q01+I1-W325,Sensorkabel 4x0.25 mm?,,BU,0.25,,=Q01+S1-B10:X1.3,=A02+K1.B1-X21-X21.1M:24,,,,,,,,
886,=+,,,,,,=Q01+K1.D2-X2:1,=Q01+K1.D2-X2:1,,,,,,,,
887,=Q01+I1-W150,?LFLEX? CLASSIC 110 3x1.5 mm?,,1,"1,5",8 m,=Q01+K1.D2-X2:1,=Q01+S1-N4:X0.1,,,,,,,,
888,=+,,,,,,=Q01+K1.D2-X2:2,=Q01+K1.D2-X2:2,,,,,,,,
889,=Q01+I1-W150,?LFLEX? CLASSIC 110 3x1.5 mm?,,2,"1,5",8 m,=Q01+K1.D2-X2:2,=Q01+S1-N4:X0.2,,,,,,,,
890,=+,,,,,,=Q01+K1.D2-X2:3,=Q01+K1.D2-X2:3,,,,,,,,
891,=Q01+I1-W150,?LFLEX? CLASSIC 110 3x1.5 mm?,,GNYE,"1,5",8 m,=Q01+K1.D2-X2:PE,=Q01+S1-N4:X0.PE,,,,,,,,
892,=+,,H05V-K,BU,"0,5",,=Q01+K1.D2-X2:PE,=Q01+K1.D2-X2:PE,,,,,,,,
893,=+,,H07V-K,GNYE,"1,5",,=A02+K1.H2-X6:PE:2,=Q01+K1.D2-X2:PE,,,,,,,,
894,=Q01+S1-W151,,,HE10,,,=Q01+S1-N4:X5.1,=Q01+S1-E2:1,,,,,,,,
895,=Q01+S1-W151,,,FLEXGR-Cu,"0,00",,=Q01+S1-N4:X5.S,=Q01+S1-E2:S,,,,,,,,
896,=Q01+S1-W151,,,,,,,,,,,,,,,
897,=Q01+S1-W151,,,,,,,,,,,,,,,
898,=Q01+S1-W152,,,HE10,,,=Q01+S1-N4:X6.1,=Q01+S1-E2:1,,,,,,,,
899,=Q01+S1-W152,,,FLEXGR-Cu,"0,00",,=Q01+S1-N4:X6.S,=Q01+S1-E2:S,,,,,,,,
900,=Q01+S1-W152,,,,,,,,,,,,,,,
901,=Q01+S1-W152,,,,,,,,,,,,,,,
902,=Q01+I1-W353,"UNITRONIC? LiYCY 10x0,5 mm?",,,,,=Q01+S1-N4:X1.CASE,=Q01+I1-W353,,,,,,,,
903,=Q01+I1-W353,"UNITRONIC? LiYCY 10x0,5 mm?",,WH,"0,5",,=A02+K1.B1-X21-X21.3M:1,=Q01+S1-N4:X1.1,,,,,,,,
904,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:9,=A02+K1.B1-X21-X21.3F:1,,,,,,,,
905,=Q01+I1-W353,"UNITRONIC? LiYCY 10x0,5 mm?",,BN,"0,5",,=A02+K1.B1-X21-X21.3M:2,=Q01+S1-N4:X1.2,,,,,,,,
906,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.3F:2,=Q01+K1.B1-W5(-P2):P2:2,,,,,,,,
907,=Q01+I1-W353,"UNITRONIC? LiYCY 10x0,5 mm?",,GN,"0,5",,=A02+K1.B1-X21-X21.3M:3,=Q01+S1-N4:X1.3,,,,,,,,
908,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:10,=A02+K1.B1-X21-X21.3F:3,,,,,,,,
909,=Q01+I1-W353,"UNITRONIC? LiYCY 10x0,5 mm?",,YE,"0,5",,=A02+K1.B1-X21-X21.3M:4,=Q01+S1-N4:X1.4,,,,,,,,
910,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.3F:4,=Q01+K1.B1-W5(-P2):P2:2,,,,,,,,
911,=Q01+I1-W353,"UNITRONIC? LiYCY 10x0,5 mm?",,GY,"0,5",,=A02+K1.B1-X21-X21.3M:5,=Q01+S1-N4:X1.5,,,,,,,,
912,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:11,=A02+K1.B1-X21-X21.3F:5,,,,,,,,
913,=Q01+I1-W353,"UNITRONIC? LiYCY 10x0,5 mm?",,PK,"0,5",,=A02+K1.B1-X21-X21.3M:6,=Q01+S1-N4:X1.6,,,,,,,,
914,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.3F:6,=Q01+K1.B1-W5(-P2):P2:2,,,,,,,,
915,=Q01+I1-W353,"UNITRONIC? LiYCY 10x0,5 mm?",,BU,"0,5",,=A02+K1.B1-X21-X21.3M:7,=Q01+S1-N4:X1.7,,,,,,,,
916,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:2,=A02+K1.B1-X21-X21.3F:7,,,,,,,,
917,=Q01+I1-W353,"UNITRONIC? LiYCY 10x0,5 mm?",,BK,"0,5",,=A02+K1.B1-X21-X21.3M:8,=Q01+S1-N4:X1.9,,,,,,,,
918,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:3,=A02+K1.B1-X21-X21.3F:8,,,,,,,,
919,=Q01+I1-W353,"UNITRONIC? LiYCY 10x0,5 mm?",,RD,"0,5",,=A02+K1.B1-X21-X21.3M:9,=Q01+S1-N4:X1.8,,,,,,,,
920,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1:1,=A02+K1.B1-X21-X21.3F:9,,,,,,,,
921,=Q01+I1-W353,"UNITRONIC? LiYCY 10x0,5 mm?",,,,,=Q01+I1-W353,=A02+K1.B1-W10:SE,,,,,,,,
922,=Q01+I1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,WH,"0,5",2 m,=A02+K1.B1-X21-X21.3M:10,=Q01+S1-N4-X2:3,,,,,,,,
923,=Q01+K1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,WH,"0,5",2 m,=Q01+K1.B1-A3:3,=A02+K1.B1-X21-X21.3F:10,,,,,,,,
924,=Q01+I1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,BN,"0,5",2 m,=A02+K1.B1-X21-X21.3M:11,=Q01+S1-N4-X2:4,,,,,,,,
925,=Q01+K1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,BN,"0,5",2 m,=Q01+K1.B1-A3:4,=A02+K1.B1-X21-X21.3F:11,,,,,,,,
926,=Q01+I1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,GN,"0,5",2 m,=A02+K1.B1-X21-X21.3M:12,=Q01+S1-N4-X2:7,,,,,,,,
927,=Q01+K1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,GN,"0,5",2 m,=Q01+K1.B1-A3:7,=A02+K1.B1-X21-X21.3F:12,,,,,,,,
928,=Q01+I1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,YE,"0,5",2 m,=A02+K1.B1-X21-X21.3M:13,=Q01+S1-N4-X2:8,,,,,,,,
929,=Q01+K1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,YE,"0,5",2 m,=Q01+K1.B1-A3:8,=A02+K1.B1-X21-X21.3F:13,,,,,,,,
930,=Q01+I1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,GY,"0,5",2 m,=A02+K1.B1-X21-X21.3M:14,=Q01+S1-N4-X2:1,,,,,,,,
