id,FTID,belongtoDevice,Function,Location,Device,Type,description,voltage,current,resistance,isSocket,isSetPoint,isSensePoint
3429,=V01+S1-B5.2:6,V01+S1-B5.2,V01,S1,B5.2,Unknown,6,0,0,0,0,0,0
3430,=A02+K1.B1-X22-X22.3M:8,A02+K1.B1-X22-X22.3M,A02,K1.B1,X22-X22.3M,Terminal_Point,8,0,0,0,1,0,0
3431,=V01+K1.B1-K37:11,V01+K1.B1-K37,V01,K1.B1,K37,Unknown,11,0,0,0,0,0,0
3432,=V01+K1.B1-W6(-P2):X1:7,V01+K1.B1-W6(-P2),V01,K1.B1,W6(-P2),Unknown,X1:7,0,0,0,0,0,0
3433,=A02+K1.B1-X22-X22.3F:9,A02+K1.B1-X22-X22.3F,A02,K1.B1,X22-X22.3F,Terminal_Point,9,0,0,0,1,0,0
3434,=V01+K1.B1-K37:14,V01+K1.B1-K37,V01,K1.B1,K37,Unknown,14,0,0,0,0,0,0
3435,=V01+S1-B5.2:8,V01+S1-B5.2,V01,S1,B5.2,Unknown,8,0,0,0,0,0,0
3436,=A02+K1.B1-X22-X22.3M:9,A02+K1.B1-X22-X22.3M,A02,K1.B1,X22-X22.3M,Terminal_Point,9,0,0,0,1,0,0
3437,=A02+K1.B1-X22-X22.3F:10,A02+K1.B1-X22-X22.3F,A02,K1.B1,X22-X22.3F,Terminal_Point,10,0,0,0,1,0,0
3438,=V01+K1.B1-W6(-P2):X1:8,V01+K1.B1-W6(-P2),V01,K1.B1,W6(-P2),Unknown,X1:8,0,0,0,0,0,0
3439,=V01+S1-B5.2:2,V01+S1-B5.2,V01,S1,B5.2,Unknown,2,0,0,0,0,0,0
3440,=A02+K1.B1-X22-X22.3M:10,A02+K1.B1-X22-X22.3M,A02,K1.B1,X22-X22.3M,Terminal_Point,10,0,0,0,1,0,0
3441,=V01+K1.B1-K38:A1,V01+K1.B1-K38,V01,K1.B1,K38,Unknown,A1,0,0,0,0,0,0
3442,=V01+K1.B1-W6(-P1):X1:6,V01+K1.B1-W6(-P1),V01,K1.B1,W6(-P1),Unknown,X1:6,0,0,0,0,0,0
3443,=A02+K1.B1-X22-X22.3F:11,A02+K1.B1-X22-X22.3F,A02,K1.B1,X22-X22.3F,Terminal_Point,11,0,0,0,1,0,0
3444,=V01+K1.B1-K38:A2,V01+K1.B1-K38,V01,K1.B1,K38,Unknown,A2,0,0,0,0,0,0
3445,=V01+S1-B5.2:9,V01+S1-B5.2,V01,S1,B5.2,Unknown,9,0,0,0,0,0,0
3446,=A02+K1.B1-X22-X22.3M:11,A02+K1.B1-X22-X22.3M,A02,K1.B1,X22-X22.3M,Terminal_Point,11,0,0,0,1,0,0
3447,=V01+K1.B1-K39:A1,V01+K1.B1-K39,V01,K1.B1,K39,Unknown,A1,0,0,0,0,0,0
3448,=V01+K1.B1-W6(-P1):X1:7,V01+K1.B1-W6(-P1),V01,K1.B1,W6(-P1),Unknown,X1:7,0,0,0,0,0,0
3449,=A02+K1.B1-X22-X22.3F:12,A02+K1.B1-X22-X22.3F,A02,K1.B1,X22-X22.3F,Terminal_Point,12,0,0,0,1,0,0
3450,=V01+K1.B1-K39:A2,V01+K1.B1-K39,V01,K1.B1,K39,Unknown,A2,0,0,0,0,0,0
3451,=V01+S1-B5.2:5,V01+S1-B5.2,V01,S1,B5.2,Unknown,5,0,0,0,0,0,0
3452,=A02+K1.B1-X22-X22.3M:12,A02+K1.B1-X22-X22.3M,A02,K1.B1,X22-X22.3M,Terminal_Point,12,0,0,0,1,0,0
3453,=A02+K1.B1-X22-X22.3F:13,A02+K1.B1-X22-X22.3F,A02,K1.B1,X22-X22.3F,Terminal_Point,13,0,0,0,1,0,0
3454,=V01+K1.B1-W6(-P1):X1:8,V01+K1.B1-W6(-P1),V01,K1.B1,W6(-P1),Unknown,X1:8,0,0,0,0,0,0
3455,=V01+S1-B5.2:4,V01+S1-B5.2,V01,S1,B5.2,Unknown,4,0,0,0,0,0,0
3456,=A02+K1.B1-X22-X22.3M:13,A02+K1.B1-X22-X22.3M,A02,K1.B1,X22-X22.3M,Terminal_Point,13,0,0,0,1,0,0
3457,=V01+I1-W447,V01+I1-W447,V01,I1,W447,Unknown,,0,0,0,0,0,0
3458,=V01+S1-B5.2:CASE,V01+S1-B5.2,V01,S1,B5.2,Unknown,CASE,0,0,0,0,0,0
