connection_number,source_name,source_location,source_type,target_name,target_location,target_type,wire_color
109,=A02+K1.H2-W2:2L3,,panel,=A01+K1.H2-K1:6,,panel,BK
109,=A01+K1.H2-K1:6,,panel,=A02+K1.H2-W2:2L3,,panel,BK
1090,=Q15+K1.G1-G2:REMOTE I/O:17,,panel,=Q15+K1.B1-A22:X1:17,,PLC,BU
1090,=Q15+K1.B1-A22:X1:17,,PLC,=Q15+K1.G1-G2:REMOTE I/O:17,,panel,BU
1091,=Q15+K1.G1-G2:REMOTE I/O:16,,panel,=Q15+K1.B1-A22:X1:16,,PLC,RD
1091,=Q15+K1.B1-A22:X1:16,,PLC,=Q15+K1.G1-G2:REMOTE I/O:16,,panel,RD
1092,=Q15+K1.G1-G2:REMOTE I/O:11,,panel,=Q15+K1.B1-A22:X1:11,,PLC,BU
1092,=Q15+K1.B1-A22:X1:11,,PLC,=Q15+K1.G1-G2:REMOTE I/O:11,,panel,BU
1096,=Q15+K1.B1-A22:X2:6,,PLC,=V01+K1.B1-A3:3,,PLC,WH
1096,=V01+K1.B1-A3:3,,PLC,=Q15+K1.B1-A22:X2:6,,PLC,WH
1097,=Q15+K1.B1-A22:X2:7,,PLC,=Q15+K1.B1-A3:4,,PLC,BN
1097,=Q15+K1.B1-A3:4,,PLC,=Q15+K1.B1-A22:X2:7,,PLC,BN
1098,=Q15+K1.B1-A22:X2:18,,PLC,=V01+K1.B1-A4:3,,PLC,GN
1098,=V01+K1.B1-A4:3,,PLC,=Q15+K1.B1-A22:X2:18,,PLC,GN
1099,=Q15+K1.B1-A22:X2:19,,PLC,=V01+K1.B1-A4:4,,PLC,YE
1099,=V01+K1.B1-A4:4,,PLC,=Q15+K1.B1-A22:X2:19,,PLC,YE
11,=A01+K1.H2-X1:N:1,,panel,=A01+K1.H2-X1:N:2,,panel,BU
11,=A01+K1.H2-X1:N:2,,panel,=A01+K1.H2-X1:N:1,,panel,BU
110,=A01+K1.H2-K1:5,,panel,=A01+K1.H2-W0:L3,,panel,BK
110,=A01+K1.H2-W0:L3,,panel,=A01+K1.H2-K1:5,,panel,BK
1100,=Q15+K1.B1-A22:X2:5,,PLC,=Q15+K1.B1-A3:7,,PLC,GY
1100,=Q15+K1.B1-A3:7,,PLC,=Q15+K1.B1-A22:X2:5,,PLC,GY
1101,=Q15+K1.B1-A22:X2:4,,PLC,=Q15+K1.B1-A3:8,,PLC,BU
1101,=Q15+K1.B1-A3:8,,PLC,=Q15+K1.B1-A22:X2:4,,PLC,BU
1102,=V01+K1.B1-A4:7,,PLC,=Q15+K1.B1-A22:X2:17,,PLC,BU
1102,=Q15+K1.B1-A22:X2:17,,PLC,=V01+K1.B1-A4:7,,PLC,BU
1103,=V01+K1.B1-A4:8,,PLC,=Q15+K1.B1-A22:X2:16,,PLC,BU
1103,=Q15+K1.B1-A22:X2:16,,PLC,=V01+K1.B1-A4:8,,PLC,BU
1104,=Q15+K1.G1-G3:X2.L,,panel,=Q15+K1.B1-X20:5:4,,panel,1
1104,=Q15+K1.B1-X20:5:4,,panel,=Q15+K1.G1-G3:X2.L,,panel,1
1105,=Q15+K1.B1-X20:5:3,,panel,=Q15+K1.H2-F13:2,,panel,BK
1105,=Q15+K1.H2-F13:2,,panel,=Q15+K1.B1-X20:5:3,,panel,BK
1106,=Q15+K1.H2-F13:1,,panel,=A02+K1.H2-W2.1:2L3,,panel,direkt verbunden
1106,=A02+K1.H2-W2.1:2L3,,panel,=Q15+K1.H2-F13:1,,panel,direkt verbunden
1107,=Q15+K1.G1-G3:X2.N,,panel,=Q15+K1.B1-X20:6:5,,panel,2
1107,=Q15+K1.B1-X20:6:5,,panel,=Q15+K1.G1-G3:X2.N,,panel,2
1108,=Q15+K1.B1-X20:6:2,,panel,=A02+K1.H2-X5:N:2,,panel,BU
1108,=A02+K1.H2-X5:N:2,,panel,=Q15+K1.B1-X20:6:2,,panel,BU
111,=A02+K1.H2-W3:3L1,,panel,=A01+K1.H2-W0:L1,,panel,BK
111,=A01+K1.H2-W0:L1,,panel,=A02+K1.H2-W3:3L1,,panel,BK
1111,=Q15+K1.H2-F13:14,,panel,=V01+K1.B1-A2:5,,PLC,BU
1111,=V01+K1.B1-A2:5,,PLC,=Q15+K1.H2-F13:14,,panel,BU
1112,=V01+K1.B1-A2:6,,PLC,=V01+K1.B1-A2:5,,PLC,BU
1112,=V01+K1.B1-A2:5,,PLC,=V01+K1.B1-A2:6,,PLC,BU
1113,=Q15+K1.B1-K23:A2,,panel,=V01+K1.B1-W5(-P2):P2:1,,panel,BU
1113,=V01+K1.B1-W5(-P2):P2:1,,panel,=Q15+K1.B1-K23:A2,,panel,BU
1114,=Q15+K1.B1-K23:A1,,panel,=S02+K1.B1-A1:4,,PLC,BU
1114,=S02+K1.B1-A1:4,,PLC,=Q15+K1.B1-K23:A1,,panel,BU
1115,=Q15+K1.B1-K23:12,,panel,=V01+K1.B1-W5(-P1):P1:1,,panel,BU
1115,=V01+K1.B1-W5(-P1):P1:1,,panel,=Q15+K1.B1-K23:12,,panel,BU
1116,=Q15+K1.G1-G3:8,,panel,=Q15+K1.B1-A23:X1:8,,PLC,BK
1116,=Q15+K1.B1-A23:X1:8,,PLC,=Q15+K1.G1-G3:8,,panel,BK
1117,=Q15+K1.B1-K23:11,,panel,=Q15+K1.B1-A23:X2:8,,PLC,BU
1117,=Q15+K1.B1-A23:X2:8,,PLC,=Q15+K1.B1-K23:11,,panel,BU
1118,=Q15+K1.G1-G3:14,,panel,=Q15+K1.B1-A23:X1:14,,PLC,VT
1118,=Q15+K1.B1-A23:X1:14,,PLC,=Q15+K1.G1-G3:14,,panel,VT
1119,=Q15+K1.B1-A23:X2:14,,PLC,=Q15+K1.B1-K3:11,,panel,BU
