id,connNo,source,target,color,isCable,isInPanel,connType,voltage,current,resistance
173,179,=A02+K1.B1-W9:SE,=A02+K1.B1-W22:SE,,0,1,外部连接,0.0,0.0,0.0
174,180,=A02+K1.B1-W11:SE,=A02+K1.B1-W22:SE,,0,1,外部连接,0.0,0.0,0.0
176,182,=A02+K1.B1-W5(-P2):P2,=A02+K1.B1-X20-X20.1F:13,,0,1,外部连接,0.0,0.0,0.0
178,184,=A02+K1.B1-W5(-P2):P2,=A02+K1.B1-X20-X20.1F:14,,0,1,外部连接,0.0,0.0,0.0
180,186,=A02+K1.B1-W5(-P2):P2,=A02+K1.B1-X20-X20.1F:15,,0,1,外部连接,0.0,0.0,0.0
182,188,=A02+K1.B1-W5(-P2):P2,=A02+K1.B1-X20-X20.2F:4,,0,1,外部连接,0.0,0.0,0.0
184,190,=A02+K1.B1-W5(-P2):P2,=A02+K1.B1-X20-X20.2F:5,,0,1,外部连接,0.0,0.0,0.0
186,192,=A02+K1.B1-W5(-P2):P2,=A02+K1.B1-X20-X20.2F:6,,0,1,外部连接,0.0,0.0,0.0
188,194,=A02+K1.B1-A1:4,=A02+K1.B1-X20-X20.1F:9,,0,1,外部连接,0.0,0.0,0.0
190,196,=A02+K1.B1-A1:5,=A02+K1.B1-X20-X20.1F:10,,0,1,外部连接,0.0,0.0,0.0
191,197,=A02+K1.B1-X20-X20.2F:8,=A02+K1.B1-A3:4,,0,1,外部连接,0.0,0.0,0.0
194,200,=A02+K1.B1-W5(-P1):X1:3,=A02+K1.B1-X20-X20.2F:7,,0,1,外部连接,0.0,0.0,0.0
195,201,=A02+K1.B1-X20-X20.2F:10,=A02+K1.B1-A3:5,,0,1,外部连接,0.0,0.0,0.0
198,204,=A02+K1.B1-W5(-P1):X1:3,=A02+K1.B1-X20-X20.2F:9,,0,1,外部连接,0.0,0.0,0.0
200,206,=A02+K1.B1-A1:6,=A02+K1.B1-X20-X20.1F:11,,0,1,外部连接,0.0,0.0,0.0
202,208,=A02+K1.B1-A1:7,=A02+K1.B1-X20-X20.1F:12,,0,1,外部连接,0.0,0.0,0.0
203,209,=A02+K1.B1-X20-X20.2F:12,=A02+K1.B1-A3:6,,0,1,外部连接,0.0,0.0,0.0
206,212,=A02+K1.B1-W5(-P1):X1:3,=A02+K1.B1-X20-X20.2F:11,,0,1,外部连接,0.0,0.0,0.0
207,213,=A02+K1.B1-X20-X20.2F:14,=A02+K1.B1-A3:7,,0,1,外部连接,0.0,0.0,0.0
210,216,=A02+K1.B1-W5(-P1):X1:3,=A02+K1.B1-X20-X20.2F:13,,0,1,外部连接,0.0,0.0,0.0
212,218,=A02+K1.B1-A1:8,=A02+K1.B1-X20-X20.1F:16,,0,1,外部连接,0.0,0.0,0.0
