Consecutive number,"Connection
device identifier(full)","cable
Type/connections number/RCS",Connection: Type designation,Connection color / number,Connection: Cross-section / diameter,Length (full),"Device (source)
Name of target connection point (full)","Device (target)
Name of target connection point (full)",Wire termination processing source,Wire termination processing target,Routing direction source,Routing direction target,Bundle,Layout space: Routing track,Connection designation,Remark
136,=+,,H07V-K,BK,"1,5",,=A02+K1.H1-K1:4,=A02+K1.H1-K1:6,,,,,,,,
137,=A02+K1-W100,"ÖLFLEX® CLASSIC 110 3x0,75 mm²",,2,"0,75",3.5 m,=A02+K1.A1-X21:N,=A02+K1.H2-X22:N,,,,,,,,
138,=+,,H07V-K,BU,"1,5",,=A02+K1.H2-X22:N,=A02+K1.H2-F3.1:4/3,,,,,,,,
139,=A02+K1-W100,"ÖLFLEX® CLASSIC 110 3x0,75 mm²",,GNYE,"0,75",3.5 m,=A02+K1.H2-X6:PE:2,=A02+K1.A1-X21:PE,,,,,,,,
140,=+,,H07V-K,BK,"1,5",,=A02+K1.H1-K1:3,=A02+K1.H1-K1:5,,,,,,,,
141,=+,,H07V-K,BK,"1,5",,=A02+K1.H1-K1:1,=A02+K1.H1-K1:3,,,,,,,,
142,=+,,H07V-K,BK,"1,5",,=A02+K1.H1-K1:1,=A02+K1.H2-F3.1:2/1,,,,,,,,
143,=+,,H07V-K,BK,"1,5",,=A02+K1.H2-F3.1:2/1,=A02+K1.H2-X22:L,,,,,,,,
144,=+,,H07V-K,BK,"1,5",,=A02+K1.H2-F3:2,=A02+K1.H2-F3.1:1/2,,,,,,,,
145,=+,,,direkt verbunden,,,=A01+K1.H2-W0:L2,=A02+K1.H2-F3:1,,,,,,,,
146,=+,,H07V-K,GNYE,"1,5",,=A02+K1.H2-X22:PE,=A02+K1.H2-X6:PE:2,,,,,,,,
147,=+,,H07V-K,BU,"1,5",,=A02+K1.H2-F3.1:3/4,=A02+K1.H2-X5:N:1,,,,,,,,
148,=+,,H05V-K,BU,"0,5",,=A02+K1.H1-K1:A2,=A02+K1.B1-W5(-P2):P2:1,,,,,,,,
149,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A1:2,=A02+K1.H1-K1:A1,,,,,,,,
150,=A02+K1-W101,"ÖLFLEX® CLASSIC 110 3x1,5 mm²",,2,"1,5",,=A02+K1.E1-S1:14,=A02+K1.B1-X9:2:5,,,,,,,,
151,=A02+K1-W101,"ÖLFLEX® CLASSIC 110 3x1,5 mm²",,1,"1,5",,=A02+K1.B1-X9:1:4,=A02+K1.E1-S1:13,,,,,,,,
152,=+,,H07V-K,BK,"1,5",,=A02+K1.H2-F4:2,=A02+K1.B1-X9:1:3,,,,,,,,
153,=+,,,direkt verbunden,,,=A01+K1.H2-W0:L1,=A02+K1.H2-F4:1,,,,,,,,
154,=+,,H07V-K,BK,"1,5",,=A02+K1.B1-X9:2:2,=A02+K1.B1-X9:3:3,,,,,,,,
155,=A02+K1-W102,"ÖLFLEX® CLASSIC 110 3x1,5 mm²",,2,"1,5",,=A02+K1.E1-S2:14,=A02+K1.B1-X9:4:5,,,,,,,,
