Consecutive number,"Connection
device identifier(full)","cable
Type/connections number/RCS",Connection: Type designation,Connection color / number,Connection: Cross-section / diameter,Length (full),"Device (source)
Name of target connection point (full)","Device (target)
Name of target connection point (full)",Wire termination processing source,Wire termination processing target,Routing direction source,Routing direction target,Bundle,Layout space: Routing track,Connection designation,Remark
925,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:3,=A02+K1.B1-X21-X21.6F:8,,,,,,,,
926,=Q01+I1-W353,"UNITRONIC® LiYCY 10x0,5 mm²",,RD,"0,5",,=A02+K1.B1-X21-X21.6M:9,=Q01+S1-N4:X1.8,,,,,,,,
927,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1:1,=A02+K1.B1-X21-X21.6F:9,,,,,,,,
928,=Q01+I1-W353,"UNITRONIC® LiYCY 10x0,5 mm²",,,,,=Q01+I1-W353,=A02+K1.B1-W10:SE,,,,,,,,
929,=Q01+I1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,WH,"0,5",2 m,=A02+K1.B1-X22-X22.1M:1,=Q01+S1-N4-X2:3,,,,,,,,
930,=Q01+K1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,WH,"0,5",2 m,=Q01+K1.B1-A3:3,=A02+K1.B1-X22-X22.1F:1,,,,,,,,
931,=Q01+I1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,BN,"0,5",2 m,=A02+K1.B1-X22-X22.1M:2,=Q01+S1-N4-X2:4,,,,,,,,
932,=Q01+K1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,BN,"0,5",2 m,=Q01+K1.B1-A3:4,=A02+K1.B1-X22-X22.1F:2,,,,,,,,
933,=Q01+I1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,GN,"0,5",2 m,=A02+K1.B1-X22-X22.1M:3,=Q01+S1-N4-X2:7,,,,,,,,
934,=Q01+K1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,GN,"0,5",2 m,=Q01+K1.B1-A3:7,=A02+K1.B1-X22-X22.1F:3,,,,,,,,
935,=Q01+I1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,YE,"0,5",2 m,=A02+K1.B1-X22-X22.1M:4,=Q01+S1-N4-X2:8,,,,,,,,
936,=Q01+K1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,YE,"0,5",2 m,=Q01+K1.B1-A3:8,=A02+K1.B1-X22-X22.1F:4,,,,,,,,
937,=Q01+I1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,GY,"0,5",2 m,=A02+K1.B1-X22-X22.1M:5,=Q01+S1-N4-X2:1,,,,,,,,
938,=Q01+K1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,GY,"0,5",2 m,=Q01+K1.B1-A2:3,=A02+K1.B1-X22-X22.1F:5,,,,,,,,
939,=Q01+I1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,PK,"0,5",2 m,=A02+K1.B1-X22-X22.1M:6,=Q01+S1-N4-X2:2,,,,,,,,
940,=Q01+K1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,PK,"0,5",2 m,=Q01+K1.B1-A2:4,=A02+K1.B1-X22-X22.1F:6,,,,,,,,
941,=Q01+I1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,RD,"0,5",2 m,=A02+K1.B1-X22-X22.1M:7,=Q01+S1-N4-X2:5,,,,,,,,
942,=Q01+K1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,RD,"0,5",2 m,=Q01+K1.B1-A2:7,=A02+K1.B1-X22-X22.1F:7,,,,,,,,
943,=Q01+I1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,BU,"0,5",2 m,=A02+K1.B1-X22-X22.1M:8,=Q01+S1-N4-X2:6,,,,,,,,
944,=Q01+K1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,BU,"0,5",2 m,=Q01+K1.B1-A2:8,=A02+K1.B1-X22-X22.1F:8,,,,,,,,
945,=Q01+I1-W454,"UNITRONIC® LiYCY (TP) 8x0,5",,Schirm,,,=Q01+I1-W454:Schirm,=Q01+S1-N4:X2.CASE,,,,,,,,
946,=Q01+K1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,Schirm,"0,00",,=Q01+K1-W454:Schirm,=A02+K1.B1-W11:SE,,,,,,,,
947,=Q01+I1-W159,UNITRONIC® LiYCY (TP) 4x0.5 mm,,SH,"0,34",,=Q01+S1-E2:X1.CASE,=Q01+I1-W159,,,,,,,,
948,=Q01+I1-W159,UNITRONIC® LiYCY (TP) 4x0.5 mm,,,,,,,,,,,,,,
949,=Q01+I1-W159,UNITRONIC® LiYCY (TP) 4x0.5 mm,,WH,0.5,5 m,=A02+K1.B1-X21-X21.6M:10,=Q01+S1-E2:X1.1,,,,,,,,
950,=Q01+K1-W159,UNITRONIC® LiYCY (TP) 4x0.5 mm,,WH,0.5,5 m,=Q01+K1.G1-N5:X3A.1,=A02+K1.B1-X21-X21.6F:10,,,,,,,,
951,=Q01+K1-W158,ÖLFLEX® CLASSIC 110 3x2.5 mm²,,1,"2,5",3.5 m,=Q01+K1.B1-X9:35:4,=Q01+K1.G1-N5:X0.+24V,,,,,,,,
952,=Q01+I1-W159,UNITRONIC® LiYCY (TP) 4x0.5 mm,,BN,0.5,5 m,=A02+K1.B1-X21-X21.6M:11,=Q01+S1-E2:X1.2,,,,,,,,
953,=Q01+K1-W159,UNITRONIC® LiYCY (TP) 4x0.5 mm,,BN,0.5,5 m,=Q01+K1.G1-N5:X3A.2,=A02+K1.B1-X21-X21.6F:11,,,,,,,,
954,=Q01+K1-W158,ÖLFLEX® CLASSIC 110 3x2.5 mm²,,2,"2,5",3.5 m,=Q01+K1.B1-X9:36:5,=Q01+K1.G1-N5:X0.GND,,,,,,,,
955,=Q01+I1-W159,UNITRONIC® LiYCY (TP) 4x0.5 mm,,YE,0.5,5 m,=A02+K1.B1-X21-X21.6M:12,=Q01+S1-E2:X1.3,,,,,,,,
956,=Q01+K1-W159,UNITRONIC® LiYCY (TP) 4x0.5 mm,,YE,0.5,5 m,=Q01+K1.G1-N5:X3B.2,=A02+K1.B1-X21-X21.6F:12,,,,,,,,
957,=Q01+K1-W158,ÖLFLEX® CLASSIC 110 3x2.5 mm²,,GNYE,"2,5",3.5 m,=Q01+K1.B1-X9:PE:1,=Q01+K1.G1-N5:X0.PE,,,,,,,,
958,=Q01+I1-W159,UNITRONIC® LiYCY (TP) 4x0.5 mm,,GN,0.5,5 m,=A02+K1.B1-X21-X21.6M:13,=Q01+S1-E2:X1.4,,,,,,,,
959,=Q01+K1-W159,UNITRONIC® LiYCY (TP) 4x0.5 mm,,GN,0.5,5 m,=Q01+K1.G1-N5:X3B.1,=A02+K1.B1-X21-X21.6F:13,,,,,,,,
960,=Q01+K1-W461,UNITRONIC® LiYCY (TP) 4x0.5 mm,,WH,0.5,3 m,=Q01+K1.B1-A8:1,=Q01+K1.G1-N5:X1.9,,,,,,,,
961,=Q01+K1-W461,UNITRONIC® LiYCY (TP) 4x0.5 mm,,,,,=Q01+K1-W461,=Q01+K1.G1-N5:X1.CASE,,,,,,,,
962,=Q01+K1-W362,UNITRONIC® LiYCY (TP) 4x0.5 mm,,WH,0.5,3.5 m,=Q01+K1.B1-X9:37:4,=Q01+K1.G1-N5:X2.E+,,,,,,,,
963,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:12,=Q01+K1.B1-X9:37:3,,,,,,,,
964,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P2):P2:2,=Q01+K1.B1-X9:38:2,,,,,,,,
965,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:5,=Q01+K1.B1-X9:39:3,,,,,,,,
966,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1:1,=Q01+K1.B1-X9:40:2,,,,,,,,
967,=Q01+K1-W362,UNITRONIC® LiYCY (TP) 4x0.5 mm,,,,,=Q01+K1-W362,=A02+K1.B1-W9:SE,,,,,,,,
968,=Q01+K1-W362,UNITRONIC® LiYCY (TP) 4x0.5 mm,,,,,,,,,,,,,,
969,=Q01+K1-W461,UNITRONIC® LiYCY (TP) 4x0.5 mm,,BN,0.5,3 m,=Q01+K1.B1-A8:3,=Q01+K1.G1-N5:X1.10,,,,,,,,
970,=Q01+K1-W461,UNITRONIC® LiYCY (TP) 4x0.5 mm,,GN,0.5,3 m,=Q01+K1.B1-A8:5,=Q01+K1.G1-N5:X1.11,,,,,,,,
971,=Q01+K1-W461,UNITRONIC® LiYCY (TP) 4x0.5 mm,,YE,0.5,3 m,=Q01+K1.B1-A8:7,=Q01+K1.G1-N5:X1.12,,,,,,,,
972,=Q01+K1-W461,UNITRONIC® LiYCY (TP) 4x0.5 mm,,,,,=Q01+K1-W461,=A02+K1.B1-W11:SE,,,,,,,,
973,=Q01+K1-W362,UNITRONIC® LiYCY (TP) 4x0.5 mm,,BN,0.5,3.5 m,=Q01+K1.B1-X9:38:5,=Q01+K1.G1-N5:X2.E-,,,,,,,,
974,=Q01+K1-W362,UNITRONIC® LiYCY (TP) 4x0.5 mm,,GN,0.5,3.5 m,=Q01+K1.B1-X9:39:4,=Q01+K1.G1-N5:X2.NO,,,,,,,,
975,=Q01+K1-W362,UNITRONIC® LiYCY (TP) 4x0.5 mm,,YE,0.5,3.5 m,=Q01+K1.B1-X9:40:5,=Q01+K1.G1-N5:X2.COM,,,,,,,,
976,=Q01+K1-W463,"UNITRONIC® LiYCY 2x0,5 mm²",,WH,"0,5",2 m,=Q01+K1.B1-A9:14,=Q01+K1.B1-K7:12,,,,,,,,
977,=Q01+I1-W464,UNITRONIC® LiYCY 5x0.5 mm²,,WH,"0,5",8 m,=A02+K1.B1-X22-X22.2M:1,=Q01+S1-X3:1,,,,,,,,
978,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K7:11,=A02+K1.B1-X22-X22.2F:1,,,,,,,,
979,=Q01+I1-W464,UNITRONIC® LiYCY 5x0.5 mm²,,BN,"0,5",8 m,=A02+K1.B1-X22-X22.2M:2,=Q01+S1-X3:2,,,,,,,,
980,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K7:A2,=Q01+K1.B1-W5(-P2):P2:1,,,,,,,,
981,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A9:4,=Q01+K1.B1-K7:A1,,,,,,,,
982,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K6:A2,=Q01+K1.B1-W5(-P2):P2:1,,,,,,,,
983,=Q01+I1-W464,UNITRONIC® LiYCY 5x0.5 mm²,,YE,"0,5",8 m,=A02+K1.B1-X22-X22.2M:3,=Q01+S1-X3:6(5),,,,,,,,
984,=Q01+I1-W464,UNITRONIC® LiYCY 5x0.5 mm²,,GY,"0,5",8 m,=A02+K1.B1-X22-X22.2M:4,=Q01+S1-X3:A(3),,,,,,,,
985,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P2):P2,=A02+K1.B1-X22-X22.2F:4,,,,,,,,
986,=Q01+I1-W464,UNITRONIC® LiYCY 5x0.5 mm²,,GN,"0,5",8 m,=A02+K1.B1-X22-X22.2M:5,=Q01+S1-X3:5(4),,,,,,,,
987,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K6:11,=A02+K1.B1-X22-X22.2F:5,,,,,,,,
988,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1,=A02+K1.B1-K20:63,,,,,,,,
989,=Q01+I1-W426,UNITRONIC® LiYCY 5x0.5 mm²,,,,,=Q01+I1-W426,=A02+K1.B1-W10:SE,,,,,,,,
990,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1:1,=Q01+K1.B1-X9:42:2,,,,,,,,
991,=Q01+I1-W464,UNITRONIC® LiYCY 5x0.5 mm²,,,,,,,,,,,,,,
992,=Q01+K1-W463,"UNITRONIC® LiYCY 2x0,5 mm²",,,,,,,,,,,,,,
993,=Q01+K1-W463,"UNITRONIC® LiYCY 2x0,5 mm²",,,,,,,,,,,,,,
994,=Q01+S1-W465,,,BN,,,=Q01+S1-M2:BN,=Q01+S1-X3:1,,,,,,,,
995,=Q01+S1-W465,,,GY,,,=Q01+S1-M2:GY,=Q01+S1-X3:2,,,,,,,,
996,=+,,H05V-K,BU,"0,25",,=Q01+S1-X3:2,=Q01+S1-X3:A(3),,,,,,,,
997,=Q01+S1-W465,,,BU,,,=Q01+S1-M2:BU,=Q01+S1-X3:A(3),,,,,,,,
998,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K7:14,=A02+K1.B1-X22-X22.2F:2,,,,,,,,
999,=Q01+K1-W463,"UNITRONIC® LiYCY 2x0,5 mm²",,BN,"0,5",2 m,=Q01+K1.B1-K7:14,=Q01+K1.B1-A9:15,,,,,,,,
1000,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A9:5,=Q01+K1.B1-K6:A1,,,,,,,,
1001,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K6:A1,=Q01+K1.B1-R11:2,,,,,,,,
1002,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-R11:1,=A02+K1.B1-X22-X22.2F:3,,,,,,,,
1003,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A9:9,=A02+K1.B1-X22-X22.2F:3,,,,,,,,
1004,=Q01+S1-W465,,,WH,,,=Q01+S1-M2:WH,=Q01+S1-X3:6(5),,,,,,,,
1005,=Q01+S1-W465,,,PK,,,=Q01+S1-M2:PK,=Q01+S1-X3:5(4),,,,,,,,
1006,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K20:64,=Q01+K1.B1-K6:14,,,,,,,,
1007,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K6:14,=Q01+K1.B1-X9:41:3,,,,,,,,
1008,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A9:10,=Q01+K1.B1-X9:41:3,,,,,,,,
1009,=Q01+I1-W368,,,WH,0.34,,=A02+K1.B1-X22-X22.2M:6,=Q01+S1-B2:1,,,,,,,,
1010,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P2):P2,=A02+K1.B1-X22-X22.2F:6,,,,,,,,
1011,=Q01+I1-W368,,,BN,0.34,,=A02+K1.B1-X22-X22.2M:7,=Q01+S1-B2:2,,,,,,,,
1012,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1,=A02+K1.B1-X22-X22.2F:7,,,,,,,,
1013,=Q01+I1-W368,,,BK,0.34,,=A02+K1.B1-X22-X22.2M:8,=Q01+S1-B2:3,,,,,,,,
1014,=Q01+K1-W367,UNITRONIC® LiYCY 3x0.5 mm²,,WH,"0,5",3.5 m,=Q01+K1.B1-A9:2,=A02+K1.B1-X22-X22.2F:8,,,,,,,,
1015,=Q01+I1-W368,,,BU,0.34,,=A02+K1.B1-X22-X22.2M:9,=Q01+S1-B2:4,,,,,,,,
1016,=Q01+K1-W367,UNITRONIC® LiYCY 3x0.5 mm²,,GN,"0,5",3.5 m,=Q01+K1.B1-A9:1,=A02+K1.B1-X22-X22.2F:9,,,,,,,,
1017,=Q01+I1-W368,,,GY,0.34,,=A02+K1.B1-X22-X22.2M:10,=Q01+S1-B2:5,,,,,,,,
1018,=Q01+K1-W367,UNITRONIC® LiYCY 3x0.5 mm²,,BN,"0,5",3.5 m,=Q01+K1.B1-A9:3,=A02+K1.B1-X22-X22.2F:10,,,,,,,,
1019,=Q01+I1-W368,,,,,,=Q01+I1-W368,=Q01+S1-B2:CASE,,,,,,,,
1020,=Q01+I1-W330,Leitung Drehgeber 5x0.34,,Schirm,"0,34",,=Q01+I1-W330,=A02+K1.B1-W10:SE,,,,,,,,
1021,=Q01+K1-W329,"UNITRONIC® LiYCY 3x0,5 mm²",,Schirm,"0,50",,=Q01+K1-W367,=A02+K1.B1-W11:SE,,,,,,,,
1022,=A02+I1-W303,"UNITRONIC® LiYY 25x0,25",,GN,"0,25",,=A02+K1.B1-X20-X20.1M:3,=A02+S1-A21-X1:3,,,,,,,,
1023,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:13,=A02+K1.B1-X20-X20.1F:3,,,,,,,,
1024,=A02+I1-W303,"UNITRONIC® LiYY 25x0,25",,YE,"0,25",,=A02+K1.B1-X20-X20.1M:4,=A02+S1-A21-X1:4,,,,,,,,
1025,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:14,=A02+K1.B1-X20-X20.1F:4,,,,,,,,
1026,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X22-X22.1F:9,=Q01+K1.B1-W5(-P1):X3:3,,,,,,,,
1027,=Q01+I1-W369,Sensorkabel 4x0.25 mm²,,BN,0.25,,=Q01+S1-B11:X1.1,=A02+K1.B1-X22-X22.1M:9,,,,,,,,
1028,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X22-X22.1F:10,=Q01+K1.B1-A7:6,,,,,,,,
1029,=Q01+I1-W369,Sensorkabel 4x0.25 mm²,,BK,0.25,,=Q01+S1-B11:X1.4,=A02+K1.B1-X22-X22.1M:10,,,,,,,,
1030,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X22-X22.1F:11,=Q01+K1.B1-W5(-P2):X3:1,,,,,,,,
1031,=Q01+I1-W369,Sensorkabel 4x0.25 mm²,,BU,0.25,,=Q01+S1-B11:X1.3,=A02+K1.B1-X22-X22.1M:11,,,,,,,,
1032,=+,,H07V-K,BU,"1,5",,=Q01+K1.B1-V1:2.1,=Q01+K1.B1-W5(-P1):X1:9,,,,,,,,
1033,=+,,H07V-K,BU,4,,=A02+K1.B1-W6(-P2):X1:5,=Q01+K1.B1-W5(-P2):X1:9,,,,,,,,
1034,=Q15+K1-W101,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,1,"2,5",4 m,=Q15+K1.B1-X20:1:4,=Q15+K1.G1-G1:X2.L,,,,,,,,
1035,=+,,H07V-K,BK,"2,5",,=Q15+K1.H2-F11:2,=Q15+K1.B1-X20:1:3,,,,,,,,
1036,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W2.1:2L1,=Q15+K1.H2-F11:1,,,,,,,,
1037,=Q15+K1-W101,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,2,"2,5",4 m,=Q15+K1.B1-X20:2:5,=Q15+K1.G1-G1:X2.N,,,,,,,,
1038,=+,,H07V-K,BU,"2,5",,=A02+K1.H2-X5:N:2,=Q15+K1.B1-X20:2:2,,,,,,,,
1039,=Q15+K1-W101,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,GNYE,"2,5",4 m,=Q15+K1.B1-X20:PE:1,=Q15+K1.G1-G1:X2.PE,,,,,,,,
1040,=Q15+K1-W111,"H07V-K 1x1,5 mm²",,GNYE,"1,5",4 m,=A02+K1.H2-X6:PE:2,=Q15+K1.G1-G1:PE,,,,,,,,
1041,=+,,H05V-K,BU,"0,5",,=Q15+K1.H2-F11:11,=Q15+K1.B1-A2:1,,,,,,,,
1042,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A2:1,=Q15+K1.B1-A2:2,,,,,,,,
1043,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,BU,"0,25",3 m,=Q15+K1.B1-A21:X1:4,=Q15+K1.G1-G1:4,,,,,,,,
1044,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-R1:1,=Q15+K1.B1-A21:X2:4,,,,,,,,
1045,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-K1:11,=Q15+K1.B1-R1:2,,,,,,,,
1046,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P1):P1:1,=Q15+K1.B1-K1:14,,,,,,,,
1047,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-K1:A1,=Q15+K1.B1-A1:1,,,,,,,,
1048,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,RD,"0,25",3 m,=Q15+K1.B1-A21:X1:17,=Q15+K1.G1-G1:17,,,,,,,,
1049,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,WH,"0,25",3 m,=Q15+K1.B1-A21:X1:5,=Q15+K1.G1-G1:5,,,,,,,,
1050,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,BN,"0,25",3 m,=Q15+K1.B1-A21:X1:18,=Q15+K1.G1-G1:18,,,,,,,,
1051,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,GN,"0,5",3 m,=Q15+K1.B1-A21:X1:2,=Q15+K1.G1-G1:2,,,,,,,,
1052,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,YE,"0,5",3 m,=Q15+K1.B1-A21:X1:15,=Q15+K1.G1-G1:15,,,,,,,,
1053,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,GY,"0,5",3 m,=Q15+K1.B1-A21:X1:3,=Q15+K1.G1-G1:3,,,,,,,,
1054,=Q15+K1-W411,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,,,,=Q15+K1-W411,=A02+K1.B1-W11:SE,,,,,,,,
1055,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,BK,"0,25",3 m,=Q15+K1.B1-A21:X1:10,=Q15+K1.G1-G1:10,,,,,,,,
1056,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A21:X2:10,=Q15+K1.B1-A21:X2:23,,,,,,,,
1057,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,VT,"0,25",3 m,=Q15+K1.B1-A21:X1:23,=Q15+K1.G1-G1:23,,,,,,,,
1058,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,BK,,,=Q15+K1-W410:BK,=Q15+K1.G1-G1:CASE,,,,,,,,
1059,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm²",,Schirm,,,=Q15+K1-W410:Schirm,=A02+K1.B1-W9:SE,,,,,,,,
1060,=Q15+K1-W411,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,,,,,,,,,,,,,
1061,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-A21:X2:17,=Q15+K1.B1-K1:A2,,,,,,,,
1062,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P2):P2:2,=Q15+K1.B1-A21:X2:17,,,,,,,,
1063,=Q15+K1-W411,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,WH,"0,5",,=Q15+K1.B1-A3:1,=Q15+K1.B1-A21:X2:5,,,,,,,,
1064,=Q15+K1-W411,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,BN,"0,5",,=Q15+K1.B1-A3:2,=Q15+K1.B1-A21:X2:18,,,,,,,,
1065,=Q15+K1-W411,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,GN,"0,5",,=Q15+K1.B1-A4:1,=Q15+K1.B1-A21:X2:2,,,,,,,,
1066,=Q15+K1-W411,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,YE,"0,5",,=Q15+K1.B1-A4:2,=Q15+K1.B1-A21:X2:15,,,,,,,,
1067,=Q15+K1-W411,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,GY,"0,5",,=Q15+K1.B1-A4:5,=Q15+K1.B1-A21:X2:3,,,,,,,,
1068,=Q15+K1-W411,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,PK,"0,25",3 m,=Q15+K1.B1-A21:X1:16,=Q15+K1.G1-G1:16,,,,,,,,
1069,=Q15+K1-W411,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,BU,"0,75",,=Q15+K1.B1-A21:X2:16,=Q15+K1.B1-A4:6,,,,,,,,
1070,=Q15+K1-W102,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,1,"2,5",4 m,=Q15+K1.B1-X20:3:4,=Q15+K1.G1-G2:X2.L,,,,,,,,
1071,=+,,H07V-K,BK,"2,5",,=Q15+K1.H2-F12:2,=Q15+K1.B1-X20:3:3,,,,,,,,
1072,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W2.1:2L2,=Q15+K1.H2-F12:1,,,,,,,,
1073,=Q15+K1-W102,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,2,"2,5",4 m,=Q15+K1.B1-X20:4:5,=Q15+K1.G1-G2:X2.N,,,,,,,,
1074,=+,,H07V-K,BU,"2,5",,=A02+K1.H2-X5:N:2,=Q15+K1.B1-X20:4:2,,,,,,,,
1075,=Q15+K1-W102,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,GNYE,"2,5",4 m,=Q15+K1.B1-X20:PE:1,=Q15+K1.G1-G2:X2.PE,,,,,,,,
1076,=Q15+K1-W112,"H07V-K 1x1,5 mm²",,GNYE,"1,5",4 m,=A02+K1.H2-X6:PE:2,=Q15+K1.G1-G2:PE,,,,,,,,
1077,=+,,H05V-K,BU,"0,5",,=Q15+K1.H2-F12:14,=Q15+K1.B1-A2:3,,,,,,,,
1078,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A2:3,=Q15+K1.B1-A2:4,,,,,,,,
1079,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A2:4,=Q15+K1.B1-A2:12,,,,,,,,
1080,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-W5(-P2):P2:1,=Q15+K1.B1-K22:A2,,,,,,,,
1081,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-K22:A1,=Q15+K1.B1-A1:2,,,,,,,,
1082,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P1):P1:1,=Q15+K1.B1-K22:12,,,,,,,,
1083,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,BK,"0,25",3 m,=Q15+K1.B1-A22:X1:8,=Q15+K1.G1-G2:REMOTE I/O:8,,,,,,,,
1084,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-K22:11,=Q15+K1.B1-A22:X2:8,,,,,,,,
1085,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-W5(-P2):P2:1,=Q15+K1.B1-K2:A2,,,,,,,,
1086,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-K2:A1,=Q15+K1.B1-A1:3,,,,,,,,
1087,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,VT,"0,25",3 m,=Q15+K1.B1-A22:X1:14,=Q15+K1.G1-G2:REMOTE I/O:14,,,,,,,,
1088,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-A22:X2:14,=Q15+K1.B1-K2:11,,,,,,,,
1089,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-K2:14,=Q15+K1.B1-A22:X2:13,,,,,,,,
1090,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,GYPK,"0,25",3 m,=Q15+K1.B1-A22:X1:13,=Q15+K1.G1-G2:REMOTE I/O:13,,,,,,,,
1091,=Q15+K1-W421,"UNITRONIC® LiYCY (TP) 8x0,5 mm²",,,,,=A02+K1.B1-W11:SE,=Q15+K1-W421,,,,,,,,
1092,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,WH,"0,25",3 m,=Q15+K1.B1-A22:X1:6,=Q15+K1.G1-G2:REMOTE I/O:6,,,,,,,,
